ROCO_CLEF_07350	C0203126;C0203051
ROCO_CLEF_56596	C0040395;C0030274;C0034579;C0702058;C0607422;C0039259;C0441633;C0040405;C0771711
ROCO_CLEF_05756	C0751437;C1844704;C0549207;C0037949
ROCO_CLEF_18367	C0079595;C0017651;C0231881
ROCO_CLEF_31138	C0087086;C2355627;C0018792;C0018827
ROCO_CLEF_37667	C0030650;C0015376;C0002978;C3203359;C0009924;C0449900
ROCO_CLEF_37083	C1512346;C1522577
ROCO_CLEF_08853	C1861360;C0025526;C0034606
ROCO_CLEF_69494	C1285092;C0030580;C1305866
ROCO_CLEF_09822	C0034579;C0376495
ROCO_CLEF_20275	C0040395;C0935572;C0221198;C0034579;C0772294;C0038351;C0000726;C0441633;C0040405
ROCO_CLEF_36401	C0175659;C3244072;C0729233;C0684254;C0003483;C0772294;C0041618;C0349674;C0011900;C0817096;C0554756;C0221198;C0040404
ROCO_CLEF_39572	C0772294;C0817096;C0024109;C0221198;C0041296
ROCO_CLEF_18556	C0725694;C0032639
ROCO_CLEF_26384	C0220825;C1962945;C1548003;C0021102;C0024687;C0751438;C0043299;C0021107
ROCO_CLEF_19723	C0184906;C0460005;C0024109
ROCO_CLEF_57134	C0520594;C0521174
ROCO_CLEF_19937	C3244306;C0035110;C1561542;C0543467;C0949626
ROCO_CLEF_41916	C1561540;C0030797;C0412555;C0041618
ROCO_CLEF_31414	C0025285;C1704258;C0424530;C0018670
ROCO_CLEF_61995	C0546816;C1522577;C1561542;C3244072;C0021485;C1306232;C0228174;C0028778;C0002978;C1552826;C0741968;C3203359;C0854571;C1533685;C1512346;C0449900;C1553386;C0006104;C0009924;C0184906;C0003842
ROCO_CLEF_45073	C1322279;C0702058;C0030274;C0700124;C0005847;C0392148;C0150312;C0039259;C0441633;C0771711
ROCO_CLEF_10450	C0022646
ROCO_CLEF_33346	C0556030;C0231519;C0240795;C0179081;C0022742;C0015385;C1962945;C0228391;C0043299;C0040184;C0274281;C0015811;C0003086;C0019552;C1548003;C0723338;C2347268
ROCO_CLEF_22581	C1709311;C0003483;C0013303;C0000726;C0025474;C0003842
ROCO_CLEF_48419	C0025066;C0017547;C0441633;C0040578
ROCO_CLEF_58409	C1962945;C0022742;C1551379;C0043299;C0374082;C0079595;C2242558;C0700185;C0441633;C0231881;C1548003;C0333581
ROCO_CLEF_61657	C0030274;C0034770;C0607422;C1561542
ROCO_CLEF_23363	C0013687;C1546613;C0596790;C0817096;C0332448;C1546677
ROCO_CLEF_60588	C0228505;C0076638;C0117002;C1533685;C0021485;C0796494;C0009924;C0441633;C0449900;C0040132
ROCO_CLEF_48312	C0038435;C0013604;C0025584;C0025590;C1861378;C0262950;C3263723
ROCO_CLEF_08426	C1334278;C0222679;C0301559;C1293131
ROCO_CLEF_56183	C0029365;C0027530;C3887609;C0729233;C1293131;C1561542;C0817096;C0022983
ROCO_CLEF_06877	C0000925;C0003842
ROCO_CLEF_38205	C0040395;C0221198;C0034579;C0772294;C0723285;C0009924;C0441633;C0040405;C0449900
ROCO_CLEF_53412	C0013516;C0002978;C0033363;C0183129;C0016538;C0205097;C0003842
ROCO_CLEF_20778	C0921177;C1328685;C0222720;C0013604;C1184145
ROCO_CLEF_30204	C0751437;C0028778;C1261287;C0002978;C0854571;C0003842
ROCO_CLEF_68133	C0227665;C0723323;C0000726;C0022646
ROCO_CLEF_47305	C0225326;C0442797;C1552679;C2355627;C0233643;C0018827;C0542560
ROCO_CLEF_21034	C0581495
ROCO_CLEF_50445	C0441633;C0030797
ROCO_CLEF_54423	C0460139;C0087086;C2355627;C0018792;C0150312;C0020461;C0018827
ROCO_CLEF_21566	C0003483;C1186983;C0005847;C2355627;C0184252;C0018792;C0024109;C0018827;C0003842
ROCO_CLEF_68744	C0175676;C0041618;C0018246;C1550227;C0203463
ROCO_CLEF_14029	C0809794;C0029053;C0607422;C1709311;C0596601;C0009368;C0687713;C0000726;C0184122
ROCO_CLEF_15467	C0751437;C1334278;C1261287;C0002978;C0003842
ROCO_CLEF_56673	C0184661;C0005847;C3538935;C3539779
ROCO_CLEF_38998	C0921176;C0525187;C0006104;C0796494;C0018827
ROCO_CLEF_02864	C0013687;C1546613;C1962945;C1548003;C0043299;C0796494;C0817096;C0344329
ROCO_CLEF_52656	C1527075;C1293131;C1548003;C1962945;C0558347;C0751438;C0043299;C2115817;C0022983;C0348000
ROCO_CLEF_43035	C4049938;C0042149;C0728940;C1140093;C1552858;C0741302;C0015252;C0412555;C0241158;C0041618;C0005682;C1550604;C0007876;C0554756;C0184905
ROCO_CLEF_33573	C0040395;C1692321;C0034579;C0030797;C0009368;C0702249;C0607422;C0332448;C0040405;C0227391
ROCO_CLEF_51839	C0150312;C0006104;C0947630;C0231881
ROCO_CLEF_42825	C0032326;C0040395;C1140618;C0446516;C0238404;C0034579;C0087111;C0013990;C0817096;C0033972;C1963215;C0040405
ROCO_CLEF_24106	C0224155;C0042449;C0030274;C0178784;C0037993;C0038351;C0934502;C2605207;C1553386
ROCO_CLEF_56022	C3244287;C1553386;C0002978;C4084721;C0003842;C0286840;C0124688
ROCO_CLEF_59088	C0035298;C0441633;C0040395;C0035331
ROCO_CLEF_43424	C0202165
ROCO_CLEF_00166	C1293136;C1261287;C1550227;C1829459;C0606665
ROCO_CLEF_05945	C2951888;C0037303;C0195897;C1709311
ROCO_CLEF_50903	C0227665;C0037993;C1962958;C0441633;C0022646
ROCO_CLEF_61190	C1552858;C0024947;C1263136;C1709311;C0015252;C0206138;C0004454;C0007876;C1440080;C0728940;C0184905;C1139930
ROCO_CLEF_53094	C0244399
ROCO_CLEF_35285	C0231519;C0027530;C1306232;C0240795;C1962945;C0556030;C0037949;C0043299;C2115817;C1548003;C1512346;C2347268
ROCO_CLEF_35486	C1320102;C0021853
ROCO_CLEF_41856	C0001558;C0001563;C0199810;C0199808;C0376495;C0725057;C0036589;C3469597;C0009924;C0003842;C0449900
ROCO_CLEF_21015	C0233643;C0040405;C0034579;C0040395
ROCO_CLEF_41966	C0030650;C0002978;C0003842
ROCO_CLEF_23876	C2355627;C0700124;C0460139;C1322279;C0018792;C0018827;C0524422;C0027627;C0012000
ROCO_CLEF_00652	C0028778;C0205400;C0021853;C0000726;C0441633;C0020885
ROCO_CLEF_26732	C0772294;C2985765;C0221198
ROCO_CLEF_09898	C1293134;C0549207
ROCO_CLEF_55437	C0031809;C0020255;C4012110;C1963137
ROCO_CLEF_64384	C0180921;C0687028;C0016356;C0005388;C3245511;C1550227
ROCO_CLEF_44295	C0184666;C1515974;C1704788;C1704258;C0016538;C0033363;C0006104;C0441633;C4284931;C4284930
ROCO_CLEF_24358	C0042241;C0152097;C0011980;C0412555;C0041618;C0024109
ROCO_CLEF_00683	C0525187;C0921176
ROCO_CLEF_42283	C0028778;C0021853;C0607422
ROCO_CLEF_55928	C0228192
ROCO_CLEF_09133	C0228505;C1962945;C1548003;C0043299;C0817096;C0024109
ROCO_CLEF_68602	C0030797;C0079595;C4055506;C0231881
ROCO_CLEF_51028	C0549207;C0025663;C0542560
ROCO_CLEF_19346	C0019066;C0162868;C0037993;C0607422;C0025474;C0009924;C0441633;C0003842;C0449900
ROCO_CLEF_48156	C1561528;C0040395;C3203359;C0027809;C0009924;C0441633;C0449900
ROCO_CLEF_11213	C1704258
ROCO_CLEF_31155	C1706074;C0225516
ROCO_CLEF_44986	C0751437;C0027530;C1550472;C0935598;C0006826;C0042232;C0751438;C1300072;C1553386
ROCO_CLEF_60456	C1285092;C0772294;C0221874;C0221198
ROCO_CLEF_22159	C0817096
ROCO_CLEF_12869	C0013218;C0032743;C2717829;C0013216;C4049938;C3665472;C0441633
ROCO_CLEF_43692	C1293134;C1962945;C0929176;C0043299;C0796494;C0817096;C0024109
ROCO_CLEF_20302	C0180921;C0016356;C0013343
ROCO_CLEF_56147	C0810633;C0006141;C3853703;C0240795;C0556030;C0006826;C0231519;C0817096;C1546728;C2347268
ROCO_CLEF_14215	C3541877;C0817096
ROCO_CLEF_53575	C0344315;C3244287;C0043299;C0817096;C0796494;C0029053;C0429068;C1962945;C4049644;C0024109;C4084909;C0687152;C0035561;C1548003;C1265876;C0011570;C0441633;C0812393;C0520887;C0286840
ROCO_CLEF_52358	C0225326;C1744564;C0441107;C3203359;C0039409
ROCO_CLEF_56684	C2355627;C0018827
ROCO_CLEF_28483	C0441633;C0028429
ROCO_CLEF_26801	C0222720;C0772294;C0921177;C0221198;C0262950;C1184145
ROCO_CLEF_50693	C0040395;C0001575;C0034579;C0009368;C0521344;C0441633;C0040405;C0227391
ROCO_CLEF_56122	C0027530;C0728733;C0180921;C1522662;C1962945;C0301559;C0228391;C0016356;C0043299;C1963113;C0015811;C0038435;C0019552;C1548003;C0185023;C1135564
ROCO_CLEF_10396	C0032743;C0772294;C0243144;C0441633;C0221198
ROCO_CLEF_62138	C0033061;C0124688
ROCO_CLEF_17282	C3244072;C0175676;C1524073;C0041618;C0203463
ROCO_CLEF_56819	C1515885;C2355627;C0817096;C0184252;C0018792;C1186983;C1292856;C0018827;C1442948
ROCO_CLEF_20820	C0817096;C0729233
ROCO_CLEF_52456	C1322279;C0687028;C0700124;C0041618;C0005388;C3245511;C0000726;C1550227;C0040404;C0012359
ROCO_CLEF_48926	C0043299;C1548003;C1962945
ROCO_CLEF_24784	C0033572;C1293134
ROCO_CLEF_69877	C1293134;C1706074;C1547311;C1286315;C0746922;C0018792;C0441633
ROCO_CLEF_43834	C0042241;C0011980;C0796494;C0152097
ROCO_CLEF_46714	C0028778;C0854571;C0398266;C0007430;C0770826
ROCO_CLEF_53717	C0004600;C0028429;C0935598;C2985765;C0009924;C0231881;C0449900
ROCO_CLEF_01953	C0027627;C1261287
ROCO_CLEF_16392	C0751437;C0728940;C0034770;C0935598;C1552858;C0015252;C1829459;C0037949;C1550254;C0812144;C0007876;C0184905
ROCO_CLEF_31540	C0040395;C0034579;C0442031;C2355627;C0024109;C0018827;C0040405;C0003842
ROCO_CLEF_25618	C0175649;C3244286;C0035139;C0441587;C0015811;C0525024;C1555302
ROCO_CLEF_55297	C0376675;C1318154;C4084721;C0939261;C0013604;C0723323;C0205400;C0005847;C0021853;C3245511;C0025474;C0441633
ROCO_CLEF_16050	C0022378;C0040395;C1692321;C0034579;C0205400;C0607422;C0332448;C0009924;C0702249;C0040405;C0449900
ROCO_CLEF_57435	C1261287;C0014245;C0687028;C0772294;C0005388;C3245511;C1550227;C0221198
ROCO_CLEF_48489	C0175331;C1515974;C1148554;C0036871;C0542492;C4284931;C4284930
ROCO_CLEF_09079	C0180921;C0042449;C0003483;C0038137;C1546572;C0016356;C0460139;C0015811;C0013987;C0456642;C1442948;C0348000;C2828392
ROCO_CLEF_07433	C1561528;C3891555;C0332149;C4255126;C0002978;C1548816;C0012737;C0003842
ROCO_CLEF_02467	C0002978;C1135564;C0038257
ROCO_CLEF_53138	C0231881;C0441633
ROCO_CLEF_44068	C0228505;C0040395;C1709311;C1552858;C0034579;C0015252;C0007876;C0817096;C0796494;C0728940;C0040405;C0184905
ROCO_CLEF_36650	C0040395;C0040405;C0034579;C0521428;C0607422;C0009924;C0449900
ROCO_CLEF_52767	C1709311;C0034896;C0412555;C0751438;C0041638;C0041618
ROCO_CLEF_19338	C0040426;C1962945;C1548003;C0043299;C0040456
ROCO_CLEF_00649	C4032686;C0560435;C0009566;C0772294;C0031557;C0161768;C0025474;C0236167;C0221198
ROCO_CLEF_50822	C2242558;C0040395;C0040405;C0034579;C1551379;C0374082;C0006104;C0700185;C0333581;C0441633
ROCO_CLEF_35674	C0041600;C1962945;C1548003;C0021102;C0015252;C0021107;C1561540;C0043299;C0728940;C0016536
ROCO_CLEF_60790	C0441513;C0040395;C0841296;C1706074;C1263136;C1293284;C0034579;C0024687;C0565460;C0198062;C1293304;C1139930;C0441633;C0524865;C0040405;C0262950;C0845672
ROCO_CLEF_62882	C0228505;C0076638;C0687028;C0041618;C1285092;C0117002;C1550227;C0040404;C0040132
ROCO_CLEF_50461	C0549207;C0000726
ROCO_CLEF_03627	C0030274;C0772294;C0221198;C1511790
ROCO_CLEF_13962	C0596392;C0024947;C0024687;C0935456;C0004454;C0039487;C4254354;C0262950
ROCO_CLEF_33798	C0849666;C0524422;C0412555;C0041618;C0018792;C0723285
ROCO_CLEF_12360	C0772294;C2355627;C0018792;C0018827;C0231881;C0221198
ROCO_CLEF_11756	C0008913;C0024947;C0042449;C1705273;C0004454;C0035561;C0031545;C0031843;C1548938
ROCO_CLEF_35989	C0332523;C1554103;C2825977;C0817096;C0009924;C0185115;C0449900
ROCO_CLEF_59526	C0027530;C0001430;C1552858;C0015252;C0030518;C0007876;C0231881;C0728940;C0184905
ROCO_CLEF_06993	C0010031;C0028429;C0175720;C0202165;C0034579;C0038925;C0935456;C0927195;C0039487;C0233643;C0040395;C0040405
ROCO_CLEF_25712	C0042241;C0152097;C0011980;C0021853;C0442034
ROCO_CLEF_21958	C0001558;C0013227;C0199808;C0036589;C1254351;C0449900;C1300072;C0001563;C0009924;C0729233;C1515974;C0199810;C1704454;C0376495;C4284931;C0725057;C3469597;C0817096;C0918037;C0003842;C4284930
ROCO_CLEF_06669	C0751437;C2242558;C0002978;C1551379;C0374082;C0700185;C0333581
ROCO_CLEF_45430	C0772294;C0221198
ROCO_CLEF_07920	C0232308;C2355627;C0024109;C0018827
ROCO_CLEF_57348	C1261287;C0024109
ROCO_CLEF_02296	C0040395;C0221198;C0034579;C0772294;C1440080;C0521530;C1514893;C0796494;C0994894;C0040405
ROCO_CLEF_39798	C1705425;C0013443;C0023759;C1522485;C0019552;C0004171;C0004170;C2338333
ROCO_CLEF_65259	C1320102;C0027530;C0024947;C0024202;C4283785;C0004454;C1706817;C0025066;C0746922;C2911692
ROCO_CLEF_23317	C1458156;C0011164;C1548801;C0009566;C0015252;C0441254;C4032686;C0031843;C0161768;C0236167;C0728940;C1705273
ROCO_CLEF_24425	C0939261;C0175676;C0029939;C0030797;C0041618;C0607422;C0203463
ROCO_CLEF_54357	C1306232;C4255126;C0772294;C0002978;C1548816;C3891555;C0221198;C0003842
ROCO_CLEF_07367	C0009368
ROCO_CLEF_47282	C0027530;C0042149;C2699153;C1293134;C0042232;C0079595;C0750103;C0231881
ROCO_CLEF_62890	C0770655;C0918012
ROCO_CLEF_61685	C0027530;C1610719;C0935598;C0549207;C1547787;C1523733;C0009924;C1849659;C0700381;C0449900
ROCO_CLEF_05187	C1962945;C1548003;C0043299;C0011900;C0430533
ROCO_CLEF_21842	C0162578;C0449982
ROCO_CLEF_45362	C0751437;C4049705;C1704454;C0442031;C4321335;C0024109;C4085643;C0817096;C4049706;C0265123
ROCO_CLEF_01372	C0042241;C0152097;C0011980;C0817096;C0265706
ROCO_CLEF_08812	C0751437;C0227813;C0935598;C0228174;C0006104;C0582103;C0031809;C0231881;C0262950;C0003842
ROCO_CLEF_25639	C0228505;C0332523;C0933845;C0751438;C0264372;C0817096;C0024109;C1554103;C0185115;C2825977
ROCO_CLEF_31855	C1963113;C0030647;C1548003;C0043299;C1962945;C0118228
ROCO_CLEF_21918	C1963113;C0040395;C0221198;C0034579;C0772294;C0441633;C0040405
ROCO_CLEF_10104	C0027442;C0221874
ROCO_CLEF_40166	C0040395;C0034579;C0935456;C0039487;C0441633;C0040405
ROCO_CLEF_47215	C0040395;C0034579;C0005847;C0023884;C0607422;C2985765;C0796494;C0009924;C0040405;C0449900
ROCO_CLEF_69070	C0013516;C0003483;C0183129;C2243117;C0087086;C2355627;C0018792;C0018827
ROCO_CLEF_04312	C0043299;C0034579;C1548003;C1962945
ROCO_CLEF_68060	C0028778;C0002978;C0854571;C0003842;C0442037
ROCO_CLEF_21716	C3853789;C1610719;C0024202;C2939420;C0006826;C0184906;C0746922;C1328685;C0003483;C0027627
ROCO_CLEF_13372	C0032005;C0040395;C0034579;C0040405
ROCO_CLEF_43847	C0751437;C0025066;C0817096;C0441633;C0233494
ROCO_CLEF_54523	C0030518;C0412555;C0041618
ROCO_CLEF_65720	C1962945;C1548003;C0043299;C0934569
ROCO_CLEF_52821	C1561543;C0772294;C1561542;C2985765;C0009924;C0221198;C0449900
ROCO_CLEF_57111	C0175649;C1697779;C0037004;C0525024
ROCO_CLEF_35919	C0034579;C0376495
ROCO_CLEF_31558	C0030797
ROCO_CLEF_59537	C1963113;C1550472;C1709311;C0000925;C0030797;C0262950
ROCO_CLEF_05168	C0162868;C0460005
ROCO_CLEF_00793	C0228391;C0030797;C1184148;C0019552;C0577559
ROCO_CLEF_52576	C0700325;C0751437;C1964257
ROCO_CLEF_49215	C0935598;C0231881;C0155094;C0606665
ROCO_CLEF_55380	C0456269;C0227665;C0441633;C0022646;C0935623
ROCO_CLEF_61604	C0035139;C0441587;C1533810;C1555302
ROCO_CLEF_34087	C0772294;C0031843;C0221198;C1705273
ROCO_CLEF_21638	C3853789;C1610719;C0013604;C0231881;C1140621
